Stock Information for Ticker: FB
High         2.020886e+02
Low          1.974644e+02
Open         1.997521e+02
Close        1.998744e+02
Volume       2.030946e+07
Adj Close    1.998744e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    202.088649   197.464440   199.752122   199.874404  2.030946e+07   199.874404
std      61.474315    59.930320    60.630514    60.743177  1.239795e+07    60.743177
min     116.480003   113.550003   114.480003   115.050003  5.324760e+06   115.050003
25%     162.105000   157.687504   159.745003   159.700001  1.320985e+07   159.700001
50%     183.754997   179.930000   181.830002   181.744995  1.719975e+07   181.744995
75%     233.390003   227.282501   230.212502   231.397495  2.311872e+07   231.397495
max     384.329987   378.809998   381.500000   382.179993  1.698037e+08   382.179993


             ds       trend  yhat_lower  yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
35   2016-10-31  126.685770  113.991858  142.228485   126.685770   126.685770        1.242583              1.242583              1.242583 -1.796236     -1.796236     -1.796236   3.038818      3.038818      3.038818                   0.0                         0.0                         0.0  127.928353
36   2016-11-01  126.809762  113.803298  141.948271   126.809762   126.809762        1.524553              1.524553              1.524553 -1.300205     -1.300205     -1.300205   2.824758      2.824758      2.824758                   0.0                         0.0                         0.0  128.334315
37   2016-11-02  126.933754  113.408725  142.238707   126.933754   126.933754        1.239176              1.239176              1.239176 -1.362021     -1.362021     -1.362021   2.601197      2.601197      2.601197                   0.0                         0.0                         0.0  128.172930
38   2016-11-03  127.057746  112.908774  142.059435   127.057746   127.057746        0.966063              0.966063              0.966063 -1.404170     -1.404170     -1.404170   2.370233      2.370233      2.370233                   0.0                         0.0                         0.0  128.023809
39   2016-11-04  127.181738  113.839794  142.271950   127.181738   127.181738        0.693511              0.693511              0.693511 -1.440414     -1.440414     -1.440414   2.133925      2.133925      2.133925                   0.0                         0.0                         0.0  127.875249
40   2016-11-07  127.553714  112.852614  140.507573   127.553714   127.553714       -0.383574             -0.383574             -0.383574 -1.796236     -1.796236     -1.796236   1.412662      1.412662      1.412662                   0.0                         0.0                         0.0  127.170140
41   2016-11-08  127.677706  113.782004  142.336543   127.677706   127.677706       -0.125856             -0.125856             -0.125856 -1.300205     -1.300205     -1.300205   1.174349      1.174349      1.174349                   0.0                         0.0                         0.0  127.551850
42   2016-11-09  127.801698  113.963200  141.776655   127.801698   127.801698       -0.422031             -0.422031             -0.422031 -1.362021     -1.362021     -1.362021   0.939990      0.939990      0.939990                   0.0                         0.0                         0.0  127.379667
43   2016-11-10  127.925690  113.247395  140.633559   127.925690   127.925690       -0.692993             -0.692993             -0.692993 -1.404170     -1.404170     -1.404170   0.711178      0.711178      0.711178                   0.0                         0.0                         0.0  127.232697
44   2016-11-11  128.049682  113.405488  140.478542   128.049682   128.049682       -0.951021             -0.951021             -0.951021 -1.440414     -1.440414     -1.440414   0.489393      0.489393      0.489393                   0.0                         0.0                         0.0  127.098661
45   2016-11-14  128.421658  113.675971  140.216143   128.421658   128.421658       -1.917184             -1.917184             -1.917184 -1.796236     -1.796236     -1.796236  -0.120948     -0.120948     -0.120948                   0.0                         0.0                         0.0  126.504474
46   2016-11-15  128.545650  113.367823  141.366750   128.545650   128.545650       -1.602726             -1.602726             -1.602726 -1.300205     -1.300205     -1.300205  -0.302521     -0.302521     -0.302521                   0.0                         0.0                         0.0  126.942923
47   2016-11-16  128.669642  112.460084  141.081572   128.669642   128.669642       -1.833839             -1.833839             -1.833839 -1.362021     -1.362021     -1.362021  -0.471818     -0.471818     -0.471818                   0.0                         0.0                         0.0  126.835803
48   2016-11-17  128.793634  113.477764  141.326639   128.793634   128.793634       -2.032496             -2.032496             -2.032496 -1.404170     -1.404170     -1.404170  -0.628326     -0.628326     -0.628326                   0.0                         0.0                         0.0  126.761138
49   2016-11-18  128.917626  112.471817  140.937881   128.917626   128.917626       -2.212159             -2.212159             -2.212159 -1.440414     -1.440414     -1.440414  -0.771745     -0.771745     -0.771745                   0.0                         0.0                         0.0  126.705467
50   2016-11-21  129.289602  112.614565  140.173106   129.289602   129.289602       -2.920252             -2.920252             -2.920252 -1.796236     -1.796236     -1.796236  -1.124016     -1.124016     -1.124016                   0.0                         0.0                         0.0  126.369350
51   2016-11-22  129.413594  112.836532  142.215404   129.413594   129.413594       -2.517073             -2.517073             -2.517073 -1.300205     -1.300205     -1.300205  -1.216868     -1.216868     -1.216868                   0.0                         0.0                         0.0  126.896520
52   2016-11-23  129.537586  113.108180  141.596085   129.537586   129.537586       -2.660808             -2.660808             -2.660808 -1.362021     -1.362021     -1.362021  -1.298788     -1.298788     -1.298788                   0.0                         0.0                         0.0  126.876777
53   2016-11-25  129.785569  112.099356  140.564547   129.785569   129.785569       -2.875274             -2.875274             -2.875274 -1.440414     -1.440414     -1.440414  -1.434860     -1.434860     -1.434860                   0.0                         0.0                         0.0  126.910296
54   2016-11-28  130.157545  112.713999  141.187120   130.157545   130.157545       -3.390717             -3.390717             -3.390717 -1.796236     -1.796236     -1.796236  -1.594481     -1.594481     -1.594481                   0.0                         0.0                         0.0  126.766829
55   2016-11-29  130.281537  113.550451  140.953303   130.281537   130.281537       -2.944037             -2.944037             -2.944037 -1.300205     -1.300205     -1.300205  -1.643832     -1.643832     -1.643832                   0.0                         0.0                         0.0  127.337500
56   2016-11-30  130.405529  111.703231  140.595706   130.405529   130.405529       -3.057026             -3.057026             -3.057026 -1.362021     -1.362021     -1.362021  -1.695006     -1.695006     -1.695006                   0.0                         0.0                         0.0  127.348503
57   2016-12-01  130.529521  113.545116  142.303778   130.529521   130.529521       -3.154536             -3.154536             -3.154536 -1.404170     -1.404170     -1.404170  -1.750366     -1.750366     -1.750366                   0.0                         0.0                         0.0  127.374985
58   2016-12-02  130.653513  113.351914  141.527658   130.653513   130.653513       -3.252697             -3.252697             -3.252697 -1.440414     -1.440414     -1.440414  -1.812283     -1.812283     -1.812283                   0.0                         0.0                         0.0  127.400817
59   2016-12-05  131.025489  112.814064  142.347628   131.025489   131.025489       -3.856265             -3.856265             -3.856265 -1.796236     -1.796236     -1.796236  -2.060029     -2.060029     -2.060029                   0.0                         0.0                         0.0  127.169225
60   2016-12-06  131.149481  114.450223  142.864183   131.149481   131.149481       -3.470279             -3.470279             -3.470279 -1.300205     -1.300205     -1.300205  -2.170074     -2.170074     -2.170074                   0.0                         0.0                         0.0  127.679202
61   2016-12-07  131.273473  114.230051  141.632491   131.273473   131.273473       -3.658694             -3.658694             -3.658694 -1.362021     -1.362021     -1.362021  -2.296674     -2.296674     -2.296674                   0.0                         0.0                         0.0  127.614779
62   2016-12-08  131.397465  113.669152  139.941291   131.397465   131.397465       -3.845232             -3.845232             -3.845232 -1.404170     -1.404170     -1.404170  -2.441062     -2.441062     -2.441062                   0.0                         0.0                         0.0  127.552233
