Stock Information for Ticker: NFLX
High         3.358255e+02
Low          3.258369e+02
Open         3.309005e+02
Close        3.310286e+02
Volume       7.682605e+06
Adj Close    3.310286e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    335.825508   325.836892   330.900469   331.028585  7.682605e+06   331.028585
std     136.380696   132.374693   134.375118   134.432008  5.080908e+06   134.432008
min      95.379997    93.260002    95.040001    94.559998  1.144000e+06    94.559998
25%     198.597496   194.365002   196.597500   196.072502  4.588450e+06   196.072502
50%     341.535004   330.909988   336.139999   336.764999  6.210600e+06   336.764999
75%     448.637497   432.650009   441.955002   440.182495  9.149925e+06   440.182495
max     613.849976   593.989990   594.690002   606.710022  5.841040e+07   606.710022


             ds       trend  yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper        yhat
46   2016-11-11  122.018772   80.906149   128.919340   122.018772   122.018772      -17.252119            -17.252119            -17.252119  2.464035      2.464035      2.464035 -19.716154    -19.716154    -19.716154                   0.0                         0.0                         0.0  104.766653
47   2016-11-14  122.387792   81.030133   129.595665   122.387792   122.387792      -17.626848            -17.626848            -17.626848  2.452267      2.452267      2.452267 -20.079115    -20.079115    -20.079115                   0.0                         0.0                         0.0  104.760945
48   2016-11-15  122.510799   82.219942   131.146712   122.510799   122.510799      -16.172496            -16.172496            -16.172496  4.021108      4.021108      4.021108 -20.193604    -20.193604    -20.193604                   0.0                         0.0                         0.0  106.338303
49   2016-11-16  122.633806   81.801677   129.718091   122.633806   122.633806      -17.260336            -17.260336            -17.260336  3.052514      3.052514      3.052514 -20.312850    -20.312850    -20.312850                   0.0                         0.0                         0.0  105.373470
50   2016-11-17  122.756813   78.466644   128.218999   122.756813   122.756813      -17.113174            -17.113174            -17.113174  3.327020      3.327020      3.327020 -20.440194    -20.440194    -20.440194                   0.0                         0.0                         0.0  105.643639
51   2016-11-18  122.879820   82.774962   127.788970   122.879820   122.879820      -18.113858            -18.113858            -18.113858  2.464035      2.464035      2.464035 -20.577893    -20.577893    -20.577893                   0.0                         0.0                         0.0  104.765961
52   2016-11-21  123.248840   81.422166   128.602608   123.248840   123.248840      -18.607077            -18.607077            -18.607077  2.452267      2.452267      2.452267 -21.059344    -21.059344    -21.059344                   0.0                         0.0                         0.0  104.641763
53   2016-11-22  123.371847   83.707112   130.239884   123.371847   123.371847      -17.218408            -17.218408            -17.218408  4.021108      4.021108      4.021108 -21.239516    -21.239516    -21.239516                   0.0                         0.0                         0.0  106.153439
54   2016-11-23  123.494854   81.759161   130.242134   123.494854   123.494854      -18.373198            -18.373198            -18.373198  3.052514      3.052514      3.052514 -21.425712    -21.425712    -21.425712                   0.0                         0.0                         0.0  105.121655
55   2016-11-25  123.740867   80.516649   127.686492   123.740867   123.740867      -19.338083            -19.338083            -19.338083  2.464035      2.464035      2.464035 -21.802118    -21.802118    -21.802118                   0.0                         0.0                         0.0  104.402784
