Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
20   2016-10-07    27.505557   -46.890865    70.901115    27.505557    27.505557      -14.083518            -14.083518            -14.083518 -4.229679     -4.229679     -4.229679  -9.853839     -9.853839     -9.853839                   0.0                         0.0                         0.0    13.422039
21   2016-10-10    28.043008   -38.346239    75.711455    28.043008    28.043008      -12.161540            -12.161540            -12.161540 -2.244307     -2.244307     -2.244307  -9.917233     -9.917233     -9.917233                   0.0                         0.0                         0.0    15.881468
22   2016-10-11    28.222158   -44.499798    73.726544    28.222158    28.222158      -12.737434            -12.737434            -12.737434 -2.851961     -2.851961     -2.851961  -9.885474     -9.885474     -9.885474                   0.0                         0.0                         0.0    15.484724
23   2016-10-12    28.401308   -46.266052    74.208314    28.401308    28.401308      -13.124345            -13.124345            -13.124345 -3.286707     -3.286707     -3.286707  -9.837638     -9.837638     -9.837638                   0.0                         0.0                         0.0    15.276964
24   2016-10-13    28.580459   -48.339502    74.663036    28.580459    28.580459      -13.450153            -13.450153            -13.450153 -3.668538     -3.668538     -3.668538  -9.781615     -9.781615     -9.781615                   0.0                         0.0                         0.0    15.130305
25   2016-10-14    28.759609   -42.392588    74.105631    28.759609    28.759609      -13.955725            -13.955725            -13.955725 -4.229679     -4.229679     -4.229679  -9.726046     -9.726046     -9.726046                   0.0                         0.0                         0.0    14.803884
26   2016-10-17    29.297060   -42.227024    75.541093    29.297060    29.297060      -11.897439            -11.897439            -11.897439 -2.244307     -2.244307     -2.244307  -9.653132     -9.653132     -9.653132                   0.0                         0.0                         0.0    17.399621
27   2016-10-18    29.476210   -40.396893    73.756827    29.476210    29.476210      -12.541594            -12.541594            -12.541594 -2.851961     -2.851961     -2.851961  -9.689634     -9.689634     -9.689634                   0.0                         0.0                         0.0    16.934616
28   2016-10-19    29.655361   -43.931177    76.931940    29.655361    29.655361      -13.056405            -13.056405            -13.056405 -3.286707     -3.286707     -3.286707  -9.769698     -9.769698     -9.769698                   0.0                         0.0                         0.0    16.598956
29   2016-10-20    29.834511   -43.928767    78.073543    29.834511    29.834511      -13.568091            -13.568091            -13.568091 -3.668538     -3.668538     -3.668538  -9.899553     -9.899553     -9.899553                   0.0                         0.0                         0.0    16.266420
30   2016-10-21    30.013661   -44.332757    72.813319    30.013661    30.013661      -14.313569            -14.313569            -14.313569 -4.229679     -4.229679     -4.229679 -10.083890    -10.083890    -10.083890                   0.0                         0.0                         0.0    15.700092
31   2016-10-24    30.551112   -44.963469    77.920599    30.551112    30.551112      -13.226873            -13.226873            -13.226873 -2.244307     -2.244307     -2.244307 -10.982566    -10.982566    -10.982566                   0.0                         0.0                         0.0    17.324240
32   2016-10-25    30.730263   -41.733004    76.598687    30.730263    30.730263      -14.244959            -14.244959            -14.244959 -2.851961     -2.851961     -2.851961 -11.392998    -11.392998    -11.392998                   0.0                         0.0                         0.0    16.485304
